Date,Open,High,Low,Close,Volume
11/12/2024,"175.84","176.72","173.86","174.99","324,742"
11/11/2024,"172.48","174.80","172.48","174.10","310,349"
11/08/2024,"174.35","174.54","171.80","172.03","504,146"
11/07/2024,"179.00","179.68","177.26","178.45","638,020"
11/06/2024,"175.25","176.00","172.02","175.15","633,028"
11/05/2024,"173.01","174.81","172.64","174.73","353,403"
11/04/2024,"173.00","173.89","172.29","172.70","253,412"
11/01/2024,"172.68","173.69","172.27","172.83","234,233"
10/31/2024,"174.64","174.64","172.20","173.02","235,011"
10/30/2024,"176.25","176.33","175.20","175.21","222,769"
10/29/2024,"176.50","177.15","175.64","176.03","357,259"
10/28/2024,"175.70","176.88","175.31","176.63","457,277"
10/25/2024,"171.90","173.00","171.59","172.00","273,877"
10/24/2024,"170.37","171.40","169.30","170.43","288,576"
10/23/2024,"172.00","172.36","170.33","171.33","398,124"
10/22/2024,"169.58","170.30","169.29","169.93","393,126"
10/21/2024,"170.10","170.26","168.66","169.17","420,176"
10/18/2024,"171.70","171.93","170.69","171.53","400,413"
10/17/2024,"172.48","172.77","171.10","171.20","516,184"
10/16/2024,"170.76","171.80","170.51","171.50","508,130"
10/15/2024,"171.61","171.68","169.31","169.55","858,871"
10/14/2024,"174.22","175.39","174.08","175.10","316,342"
10/11/2024,"172.06","174.52","171.80","174.06","344,600"
10/10/2024,"172.84","174.58","172.76","174.35","241,574"
10/09/2024,"172.88","174.36","171.80","173.99","416,309"
10/08/2024,"175.73","176.99","174.65","175.76","326,089"
10/07/2024,"177.79","178.22","176.86","177.32","228,881"
10/04/2024,"178.30","180.51","177.96","180.02","309,545"
10/03/2024,"176.92","176.92","175.39","176.17","394,835"
10/02/2024,"179.00","180.61","178.55","180.50","295,144"
10/01/2024,"179.98","179.98","176.87","178.06","391,166"
09/30/2024,"179.44","179.82","177.37","178.57","458,900"
09/27/2024,"184.37","185.19","181.70","182.82","575,172"
09/26/2024,"188.55","190.44","188.47","189.36","449,748"
09/25/2024,"184.01","184.84","183.50","184.16","213,818"
09/24/2024,"183.11","184.87","183.11","183.53","284,990"
09/23/2024,"184.75","185.81","184.13","185.40","357,927"
09/20/2024,"184.58","184.92","182.54","184.07","534,072"
09/19/2024,"184.29","184.68","183.00","183.47","494,500"
09/18/2024,"175.66","178.52","175.66","176.71","563,819"
09/17/2024,"172.38","174.59","171.32","173.15","502,580"
09/16/2024,"175.71","176.61","175.07","176.23","274,319"
09/13/2024,"174.99","176.18","174.86","175.39","217,804"
09/12/2024,"175.56","177.20","174.31","176.18","267,808"
09/11/2024,"172.39","174.85","170.51","174.69","415,192"
09/10/2024,"174.73","175.79","171.60","174.18","479,244"
09/09/2024,"175.60","177.09","174.58","176.08","408,351"
