Date,Open,High,Low,Close,Volume
05/20/2025,"484,100","484,100","484,100","484,100","342"
05/19/2025,"483,900","484,360","483,500","483,500","735"
05/16/2025,"486,000","486,000","485,400","485,400","2,745"
05/15/2025,"486,700","486,700","486,700","486,700","533"
05/14/2025,"487,200","487,780","485,100","485,100","1,811"
05/13/2025,"495,980","495,980","486,000","487,180","4,845"
05/12/2025,"489,100","489,100","487,200","487,200","10,490"
05/09/2025,"492,500","492,500","491,520","491,520","367"
05/08/2025,"495,000","495,000","493,600","494,660","4,843"
05/07/2025,"498,940","499,000","498,940","499,000","320"
05/06/2025,"496,400","498,780","495,640","495,640","1,386"
05/05/2025,"490,580","498,000","490,580","490,580","4"
05/02/2025,"488,000","488,000","488,000","488,000","871"
04/30/2025,"490,000","490,580","488,700","488,700","1,581"
04/29/2025,"484,000","486,600","482,580","482,580","1,557"
04/28/2025,"489,300","489,900","489,300","489,900","295"
04/25/2025,"489,000","489,280","489,000","489,280","524"
04/24/2025,"494,800","495,980","476,100","494,800","22"
04/22/2025,"491,040","495,000","491,040","494,800","260"
04/21/2025,"495,000","495,000","490,500","491,020","1,157"
04/16/2025,"499,440","499,440","475,200","499,440","29"
04/15/2025,"499,440","499,440","499,440","499,440","577"
04/14/2025,"494,000","497,000","494,000","497,000","1,616"
04/11/2025,"503,200","503,200","503,000","503,000","4,410"
04/10/2025,"498,200","501,200","498,200","501,200","2,004"
04/09/2025,"509,000","515,000","489,020","489,020","6,283"
04/08/2025,"495,020","512,960","495,020","503,020","7,857"
04/07/2025,"495,000","505,000","485,000","503,500","6,304"
04/04/2025,"490,700","495,000","490,700","494,100","6,486"
04/03/2025,"474,760","478,500","474,760","478,500","1,417"
04/02/2025,"478,700","479,060","470,040","470,040","991"
04/01/2025,"478,340","478,340","478,340","478,340","334"
03/31/2025,"481,900","483,360","481,900","483,360","634"
03/28/2025,"481,800","484,000","481,800","484,000","1,046"
03/27/2025,"477,200","478,500","477,200","478,500","1,900"
03/26/2025,"475,600","476,000","475,600","475,640","4,453"
03/25/2025,"471,900","472,900","471,900","472,900","625"
03/21/2025,"478,140","478,140","475,380","475,380","75"
03/20/2025,"482,300","483,000","482,300","483,000","1,052"
03/19/2025,"477,000","477,000","472,000","475,000","2,788"
03/18/2025,"473,000","479,980","473,000","479,980","440"
03/17/2025,"469,500","469,820","469,500","469,820","1,909"
03/14/2025,"471,700","473,000","471,700","473,000","345"
03/13/2025,"473,500","494,000","471,120","494,000","3,920"
03/12/2025,"464,180","471,600","464,180","471,600","15,959"
03/11/2025,"480,300","480,300","474,980","480,300","18"
03/10/2025,"476,700","480,300","476,700","480,300","257"
03/07/2025,"471,900","471,900","471,900","471,900","208"
03/06/2025,"473,720","473,720","473,720","473,720","634"
03/05/2025,"473,600","475,540","473,600","475,540","1,499"
03/04/2025,"475,720","476,120","475,720","475,780","1,644"
03/03/2025,"473,780","473,780","471,500","471,600","60,095"
02/28/2025,"472,020","477,000","472,020","477,000","8,929"
02/27/2025,"471,000","471,500","471,000","471,500","2,992"
02/26/2025,"475,100","475,100","469,900","469,900","2,561"
02/25/2025,"471,240","473,480","471,240","473,480","1,311"
02/24/2025,"469,820","474,500","469,820","474,080","3,247"
02/21/2025,"467,100","467,680","467,100","467,680","25,925"
02/20/2025,"471,260","471,260","467,360","468,000","13,169"
02/19/2025,"470,520","471,280","469,680","471,260","5,869"
02/18/2025,"474,280","474,280","469,100","469,100","8,532"
02/17/2025,"474,280","474,280","474,280","474,280","907"
02/14/2025,"468,900","471,900","468,900","470,700","10,529"
02/13/2025,"478,200","478,200","478,000","478,000","1,532"
02/12/2025,"477,500","480,000","477,100","480,000","1,188"
02/11/2025,"476,740","476,740","474,920","474,920","1,367"
02/10/2025,"473,880","475,800","472,580","473,120","12,964"
02/07/2025,"473,000","473,000","470,000","470,000","8,790"
