Date,Open,High,Low,Close,Volume
07/21/2025,"731.00","732.90","719.32","719.68","2,650,344"
07/18/2025,"752.08","752.09","734.33","734.58","2,567,221"
07/17/2025,"746.82","756.85","742.00","744.91","4,078,476"
07/16/2025,"754.36","760.90","730.60","754.45","10,789,550"
07/15/2025,"822.98","826.56","814.21","823.02","2,099,641"
07/14/2025,"797.62","812.77","789.87","806.73","1,456,895"
07/11/2025,"797.07","803.19","796.52","801.93","932,666"
07/10/2025,"808.93","811.10","798.00","802.09","1,500,053"
07/09/2025,"792.91","800.90","792.47","799.83","1,334,286"
07/08/2025,"782.66","798.39","778.73","794.10","1,327,752"
07/07/2025,"785.46","793.49","783.80","785.09","1,363,742"
07/03/2025,"786.97","798.53","786.61","794.50","910,715"
07/02/2025,"776.24","800.50","772.86","799.59","1,382,989"
07/01/2025,"788.05","795.50","782.54","790.47","1,066,115"
06/30/2025,"796.48","802.44","794.04","801.39","1,080,826"
06/27/2025,"802.94","805.49","788.45","795.95","1,201,022"
06/26/2025,"799.76","800.88","786.50","798.09","1,705,753"
06/25/2025,"816.75","819.54","806.22","815.24","1,400,090"
06/24/2025,"786.11","813.46","786.11","813.36","2,039,644"
06/23/2025,"761.26","780.75","759.81","779.72","1,302,753"
06/20/2025,"768.37","769.01","736.25","756.53","2,303,859"
06/18/2025,"764.73","768.00","754.24","761.64","1,372,544"
06/17/2025,"766.78","773.21","758.21","759.86","1,422,774"
06/16/2025,"766.37","779.19","765.98","775.23","1,454,490"
06/13/2025,"766.89","772.93","759.87","761.00","1,742,859"
06/12/2025,"785.44","789.57","782.34","786.21","999,568"
06/11/2025,"790.05","797.25","780.69","784.09","1,365,886"
06/10/2025,"779.11","788.29","776.49","784.97","1,715,548"
06/09/2025,"757.06","782.20","757.06","770.20","1,769,425"
06/06/2025,"756.06","762.10","752.80","753.02","1,345,389"
06/05/2025,"754.13","756.46","744.00","747.76","1,507,318"
06/04/2025,"751.18","752.77","740.41","742.78","1,160,375"
06/03/2025,"732.66","748.55","732.20","747.25","1,085,080"
06/02/2025,"733.29","746.95","732.66","746.53","812,602"
05/30/2025,"745.01","745.96","723.00","736.77","1,785,806"
05/29/2025,"757.83","759.55","744.84","747.07","1,166,416"
05/28/2025,"752.14","756.39","744.81","746.51","1,243,956"
05/27/2025,"751.37","761.21","749.95","756.79","1,385,099"
05/23/2025,"724.60","735.99","722.52","732.49","1,525,225"
05/22/2025,"736.32","747.21","734.15","740.70","863,926"
05/21/2025,"749.01","755.79","735.49","737.17","1,058,736"
05/20/2025,"745.63","748.98","741.30","748.76","777,181"
05/19/2025,"739.73","750.00","737.27","749.13","977,869"
05/16/2025,"752.88","753.45","742.21","748.10","1,095,121"
05/15/2025,"763.67","767.00","755.21","758.36","1,510,982"
05/14/2025,"765.00","773.70","764.27","768.91","1,156,129"
05/13/2025,"745.26","764.87","744.54","763.90","1,815,615"
05/12/2025,"730.42","750.52","729.38","750.20","2,571,454"
05/09/2025,"709.21","710.51","703.90","706.21","884,243"
05/08/2025,"711.12","716.81","705.70","708.03","1,040,537"
05/07/2025,"685.78","701.96","683.46","700.39","1,042,544"
05/06/2025,"676.31","686.37","675.50","679.99","765,138"
05/05/2025,"685.00","690.42","682.73","683.36","903,997"
05/02/2025,"686.32","695.00","685.60","690.33","1,215,548"
05/01/2025,"675.15","675.15","662.46","666.72","1,066,308"
04/30/2025,"657.59","669.50","651.46","668.08","1,042,119"
04/29/2025,"665.61","673.63","663.00","666.11","1,104,016"
04/28/2025,"672.17","674.44","661.08","672.76","1,008,014"
04/25/2025,"666.90","681.75","664.59","677.27","1,281,108"
04/24/2025,"666.53","678.32","662.56","675.00","1,770,710"
04/23/2025,"664.25","666.49","654.80","657.98","1,849,690"
04/22/2025,"638.81","645.61","631.00","638.69","1,967,022"
04/21/2025,"632.00","633.66","614.06","624.69","1,555,135"
04/17/2025,"644.36","647.66","636.93","640.16","1,439,852"
04/16/2025,"647.00","653.13","624.17","634.93","4,028,280"
04/15/2025,"679.38","687.53","676.69","683.16","2,105,587"
04/14/2025,"676.44","680.03","662.73","672.87","1,574,032"
04/11/2025,"656.06","672.00","651.39","668.81","2,163,570"
04/10/2025,"656.17","661.66","627.63","649.55","2,989,944"
04/09/2025,"618.02","692.29","606.87","687.26","3,866,703"
04/08/2025,"632.02","637.90","582.89","595.37","2,585,227"
04/07/2025,"586.50","652.85","578.51","615.84","4,179,143"
04/04/2025,"621.95","626.38","597.69","605.55","4,016,981"
04/03/2025,"649.53","650.97","622.82","623.22","2,877,114"
04/02/2025,"664.39","676.39","660.83","669.01","1,119,008"
04/01/2025,"664.57","670.64","656.35","667.34","1,212,618"
03/31/2025,"660.26","665.16","652.88","662.63","1,684,953"
03/28/2025,"685.13","687.44","672.05","674.58","1,393,008"
03/27/2025,"698.49","702.48","689.00","690.63","1,285,455"
03/26/2025,"715.90","719.99","702.24","705.76","1,270,018"
03/25/2025,"732.06","735.00","725.42","726.74","1,244,301"
03/24/2025,"728.03","731.95","726.34","727.84","1,104,367"
03/21/2025,"711.79","721.36","711.21","716.22","1,967,217"
03/20/2025,"725.01","735.40","724.23","734.06","1,282,411"
03/19/2025,"729.11","746.75","725.06","734.91","1,080,488"
03/18/2025,"729.90","734.19","719.99","731.11","1,007,257"
03/17/2025,"718.05","734.55","717.21","730.33","1,423,286"
03/14/2025,"707.68","720.03","705.36","714.00","1,367,524"
03/13/2025,"697.84","705.30","688.26","694.59","1,399,468"
03/12/2025,"704.14","708.30","696.74","703.37","1,306,300"
03/11/2025,"698.82","702.00","681.26","690.21","1,616,844"
03/10/2025,"697.98","699.00","676.00","683.11","2,321,496"
03/07/2025,"726.16","734.00","715.50","732.22","1,426,613"
03/06/2025,"718.85","731.17","711.00","714.84","1,427,928"
03/05/2025,"731.62","740.55","719.30","739.75","1,754,290"
03/04/2025,"698.27","721.30","692.69","708.22","2,044,726"
03/03/2025,"722.05","732.35","692.48","699.86","2,284,110"
02/28/2025,"706.82","713.50","697.51","709.08","1,773,419"
02/27/2025,"743.42","744.80","696.91","697.70","2,342,831"
02/26/2025,"743.82","753.77","738.91","746.93","1,401,441"
02/25/2025,"732.19","738.98","726.21","730.19","1,691,183"
02/24/2025,"746.13","750.88","734.70","735.96","1,471,150"
02/21/2025,"744.15","745.71","733.20","737.21","1,472,315"
02/20/2025,"751.35","755.51","740.42","743.09","1,185,949"
02/19/2025,"743.96","752.87","741.69","744.80","1,457,873"
02/18/2025,"757.44","758.93","738.60","744.22","1,715,357"
02/14/2025,"778.22","778.36","748.68","751.55","2,047,268"
02/13/2025,"754.77","776.99","752.75","776.99","1,674,122"
02/12/2025,"738.35","756.79","733.56","756.17","1,077,846"
02/11/2025,"744.67","753.49","743.88","752.98","1,096,746"
02/10/2025,"736.72","745.56","735.88","744.08","986,103"
02/07/2025,"739.05","742.32","723.75","727.70","1,312,394"
02/06/2025,"737.69","742.41","735.01","739.13","1,120,244"
02/05/2025,"729.24","743.21","722.40","742.59","1,251,740"
02/04/2025,"736.90","742.69","729.28","731.41","1,496,994"
02/03/2025,"719.13","735.45","717.92","731.06","1,647,169"
01/31/2025,"748.09","754.60","737.77","739.31","2,127,326"
01/30/2025,"740.10","745.59","730.58","736.99","2,745,560"
01/29/2025,"727.16","728.46","704.60","712.65","4,971,530"
01/28/2025,"678.80","693.45","666.60","683.35","2,811,890"
01/27/2025,"672.79","690.60","671.94","690.15","4,947,774"
01/24/2025,"749.36","750.00","729.30","732.25","1,505,743"
01/23/2025,"740.01","747.75","736.00","746.24","1,751,059"
01/22/2025,"777.75","784.82","765.89","766.71","1,699,875"
01/21/2025,"763.00","767.73","755.49","763.00","1,332,045"
01/17/2025,"767.91","769.20","751.50","756.33","1,933,558"
01/16/2025,"758.80","771.56","748.46","750.28","2,407,611"
01/15/2025,"739.46","744.47","725.19","726.30","1,864,362"
01/14/2025,"737.54","739.52","728.06","736.29","1,022,576"
01/13/2025,"721.20","729.00","717.59","727.41","1,321,847"
01/10/2025,"751.00","751.30","735.40","739.01","1,515,810"
01/08/2025,"753.00","753.33","737.00","743.98","1,185,356"
01/07/2025,"775.00","778.39","753.49","757.58","1,490,168"
01/06/2025,"751.06","781.09","749.65","768.51","2,761,133"
01/03/2025,"703.16","717.57","702.58","714.36","1,064,105"
01/02/2025,"705.34","711.96","696.34","700.42","1,116,282"
12/31/2024,"701.39","702.98","687.43","693.08","964,971"
12/30/2024,"700.00","702.81","694.47","696.15","1,202,603"
12/27/2024,"717.49","717.50","708.59","713.59","942,319"
12/26/2024,"714.21","720.50","711.11","715.86","734,798"
12/24/2024,"716.39","720.20","715.00","719.71","586,834"
12/23/2024,"707.10","722.05","707.08","721.04","1,232,626"
12/20/2024,"700.15","720.40","696.28","705.68","2,701,763"
12/19/2024,"717.75","720.83","708.78","710.26","1,622,759"
12/18/2024,"748.51","757.19","715.48","719.49","2,257,042"
12/17/2024,"740.00","745.12","732.68","735.19","1,753,262"
12/16/2024,"720.05","731.00","713.33","722.38","1,542,830"
12/13/2024,"718.58","724.98","716.22","718.58","1,455,664"
12/12/2024,"713.34","719.88","710.63","713.10","868,707"
12/11/2024,"711.89","718.00","706.49","714.43","1,217,552"
12/10/2024,"716.62","718.30","700.57","705.27","1,214,669"
12/09/2024,"713.25","723.21","705.65","706.52","1,267,465"
12/06/2024,"711.74","717.21","707.08","708.98","1,215,435"
12/05/2024,"729.15","729.22","708.00","711.50","1,801,140"
12/04/2024,"723.79","724.94","716.93","719.92","1,529,828"
12/03/2024,"702.65","721.33","700.62","718.06","1,647,225"
12/02/2024,"681.75","713.68","680.70","711.47","2,325,913"
11/29/2024,"678.87","699.65","678.54","686.61","1,706,533"
11/27/2024,"669.76","672.69","659.61","670.48","1,231,751"
11/26/2024,"679.59","681.85","666.83","671.97","1,424,053"
