Date,Open,High,Low,Close
07/07/2025,"108,563","109,729","107,526","108,057"
07/06/2025,"108,182","109,118","107,855","108,563"
07/05/2025,"107,494","108,401","107,473","108,182"
07/04/2025,"109,841","110,039","107,304","107,494"
07/03/2025,"109,750","110,573","108,602","109,841"
07/02/2025,"105,417","109,792","105,163","109,750"
07/01/2025,"107,787","107,787","105,417","105,417"
06/30/2025,"107,447","108,805","106,753","107,787"
06/29/2025,"107,285","108,535","107,220","107,447"
06/28/2025,"106,887","107,585","106,861","107,285"
06/27/2025,"107,580","108,020","106,461","106,887"
06/26/2025,"107,818","108,303","106,666","107,580"
06/25/2025,"105,708","108,180","105,517","107,818"
06/24/2025,"103,225","106,324","102,997","105,708"
06/23/2025,"98,924","103,343","98,261","103,225"
06/22/2025,"102,273","103,368","98,723","98,924"
06/21/2025,"103,369","104,013","102,256","102,273"
06/20/2025,"104,276","106,531","102,379","103,369"
06/19/2025,"103,821","105,247","103,671","104,276"
06/18/2025,"104,719","105,558","103,568","103,821"
06/17/2025,"108,670","108,946","103,392","104,719"
06/16/2025,"105,309","108,913","104,530","108,670"
06/15/2025,"104,731","106,153","104,387","105,309"
06/14/2025,"105,149","106,242","104,438","104,731"
06/13/2025,"106,827","106,980","102,802","105,149"
06/12/2025,"108,775","109,245","106,609","106,827"
06/11/2025,"109,557","110,406","108,455","108,775"
06/10/2025,"108,668","110,545","108,394","109,557"
06/09/2025,"106,353","108,817","105,388","108,668"
06/08/2025,"105,784","106,406","105,071","106,353"
06/07/2025,"104,309","105,915","103,992","105,784"
06/06/2025,"101,903","105,408","100,442","104,309"
06/05/2025,"104,991","105,962","101,670","101,903"
06/04/2025,"106,304","106,312","104,230","104,991"
06/03/2025,"104,484","106,840","104,482","106,304"
06/02/2025,"105,177","105,968","103,724","104,484"
06/01/2025,"104,761","105,322","103,834","105,177"
05/31/2025,"104,629","104,910","103,135","104,761"
05/30/2025,"105,734","106,465","103,717","104,629"
05/29/2025,"106,978","108,922","105,664","105,734"
05/28/2025,"109,922","109,940","106,977","106,978"
05/27/2025,"109,151","110,786","107,588","109,922"
05/26/2025,"107,772","110,440","107,245","109,151"
05/25/2025,"108,991","109,140","106,698","107,772"
05/24/2025,"108,737","109,499","106,832","108,991"
05/23/2025,"111,227","111,783","107,401","108,737"
05/22/2025,"108,672","111,986","107,818","111,227"
05/21/2025,"107,060","109,846","106,005","108,672"
05/20/2025,"105,575","107,289","104,225","107,060"
05/19/2025,"103,945","107,091","102,119","105,575"
05/18/2025,"103,202","105,955","102,963","103,945"
05/17/2025,"104,067","104,070","102,676","103,202"
05/16/2025,"103,165","104,577","102,759","104,067"
05/15/2025,"103,303","104,172","101,436","103,165"
05/14/2025,"104,848","104,955","102,629","103,303"
05/13/2025,"101,820","105,001","101,504","104,848"
05/12/2025,"104,461","105,755","100,765","101,820"
05/11/2025,"103,207","104,966","103,108","104,461"
05/10/2025,"103,229","104,079","102,787","103,207"
05/09/2025,"101,317","104,330","101,316","103,229"
05/08/2025,"96,207","101,713","96,122","101,317"
05/07/2025,"94,958","97,691","94,479","96,207"
05/06/2025,"94,307","95,185","93,381","94,958"
05/05/2025,"95,581","95,762","93,535","94,307"
05/04/2025,"96,384","96,443","95,256","95,581"
05/03/2025,"96,996","97,182","95,906","96,384"
05/02/2025,"96,572","97,930","96,237","96,996"
05/01/2025,"94,155","97,490","94,032","96,572"
04/30/2025,"95,337","95,431","92,953","94,155"
04/29/2025,"94,812","95,475","94,252","95,337"
04/28/2025,"94,445","95,621","92,857","94,812"
04/27/2025,"94,316","95,334","93,675","94,445"
04/26/2025,"95,422","95,434","93,917","94,316"
04/25/2025,"93,622","95,865","92,892","95,422"
04/24/2025,"93,567","93,936","91,701","93,622"
04/23/2025,"91,560","94,570","91,135","93,567"
04/22/2025,"87,463","91,754","86,965","91,560"
04/21/2025,"84,645","88,499","84,633","87,463"
04/20/2025,"85,078","85,347","83,976","84,645"
04/19/2025,"84,532","85,591","84,354","85,078"
04/18/2025,"84,879","85,142","84,324","84,532"
04/17/2025,"84,340","85,467","83,760","84,879"
04/16/2025,"84,007","85,462","83,104","84,340"
04/15/2025,"84,902","86,453","83,927","84,007"
04/14/2025,"83,923","85,794","83,035","84,902"
04/13/2025,"84,908","86,016","83,076","83,923"
04/12/2025,"83,823","85,370","82,782","84,908"
04/11/2025,"79,581","84,171","78,939","83,823"
04/10/2025,"82,290","83,553","78,437","79,581"
04/09/2025,"76,741","82,960","74,584","82,290"
04/08/2025,"78,062","80,815","76,297","76,741"
04/07/2025,"79,601","81,147","74,436","78,062"
04/06/2025,"82,821","83,713","78,657","79,601"
04/05/2025,"83,969","84,416","82,360","82,821"
04/04/2025,"81,922","84,700","81,670","83,969"
04/03/2025,"86,941","88,459","81,269","81,922"
04/02/2025,"84,955","87,354","83,936","86,941"
04/01/2025,"82,402","85,487","82,262","84,955"
03/31/2025,"82,537","83,893","81,298","82,402"
03/30/2025,"82,643","83,498","82,048","82,537"
03/29/2025,"83,718","84,552","81,637","82,643"
03/28/2025,"87,035","87,710","83,553","83,718"
03/27/2025,"86,561","87,758","85,839","87,035"
03/26/2025,"88,157","88,548","85,866","86,561"
03/25/2025,"88,319","88,522","86,349","88,157"
03/24/2025,"85,007","88,766","84,938","88,319"
03/23/2025,"84,177","85,396","83,688","85,007"
03/22/2025,"83,931","84,532","83,793","84,177"
03/21/2025,"84,129","84,785","83,157","83,931"
03/20/2025,"85,465","87,443","83,624","84,129"
